Code,Mounted,Date_iso,Date_ext,Date_amp,Family,Sequence,L1,R1,L2,R2,L3,R3,L4,R4,L5,R5,L6,R6,L7,R7,L8,R8,L9,R9,L10,R10,Clade,Notes,,
WA009B,Y,2023-10-25,2023-11-02,2023-11-27,Lymnaeidae,CO1,4,4,9,8,9,8,12,11,12,10,,,,,,,,,,,1,,,
WA009C,N,2023-10-25,2023-11-02,2023-11-27,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA009D,N,2023-10-25,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA009E,N,2023-10-25,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA013A,Y,2023-12-13,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA013B,Y,2023-12-13,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA013C,N,2023-12-13,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WA017A,N,2023-12-04,44943,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI001A,N,2023-10-18,2023-11-08,45191,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001B,Y,2023-10-18,2023-11-08,2023-09-22,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001C,Y,2023-10-18,2023-11-08,2023-11-27,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001D,N,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001E,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001F,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001G,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001H,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001I,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001J,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001K,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001L,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001M,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001N,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI001O,,2023-02-13,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI002A,Y,2023-12-04,45330,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI002B,Y,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI002C,N,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI002D,N,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI002E,N,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI007A,Y,2023-10-18,2023-10-20,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007B,Y,2023-10-18,2023-10-23,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007C,Y,2023-10-18,2023-10-23,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007D,N,2023-10-18,2023-11-02,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007E,N,2023-10-18,2023-11-02,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007F,N,2023-10-18,2023-10-23,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007G,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007H,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007I,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007J,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007K,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007L,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007M,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007N,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007O,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007P,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007Q,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007R,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007S,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI007T,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WI008A,Y,45273,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI009A,Y,2023-10-18,N/A,45257,Physidae,CO1,9,,8,8,10,9,9,8,,,,,,,,,,,,,1,Maybe the posterior,,
WI009B,Y,2023-10-18,45238,2023-11-27,Physidae,CO1,6,10,10,11,,,,,,,,,,,,,,,,,1,Maybe the posterior,,
WI009C,N,2023-10-18,2023-10-23,2023-11-27,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI009D,N,2024-02-07,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI009E,N,2024-02-07,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI011A,Y,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI011B,Y,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI011C,N,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI011D,N,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI013A,Y,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI013B,Y,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI013C,N,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI013D,N,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI013E,N,2023-12-04,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI104A,Y,2023-10-18,2023-11-02,45191,Lymnaeidae,CO1,8,7,11,,13,,13,,13,,13,,9,,13,,14,,11,,1,,,
WI104B,Y,2023-10-18,2023-11-02,2023-09-22,Lymnaeidae,CO1,4,4,6,6,10,10,10,10,9,10,9,8,15,,15,12,14,,,,1,,,
WI104C,N,2023-10-18,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI104D,N,2023-10-18,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WI104E,N,2023-10-18,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI104F,N,2023-10-18,2023-11-02,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WI107A,,2024-02-13,2024-02-08,,Lymnaeidae,CO1,5,,11,6,11,,13,,10,,,12,11,,,,,,,,,,,
WS001A,Y,2024-02-13,,,Planorbidae,CO1,8,7,10,,10,,11,,10,,,,,,,,,,,,1,,,
WS001B,Y,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WS001C,N,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
WS001D,N,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,DONE,TOTAL
,Finished:,,,,,,,,,,,,,,,,,,,,,,,,CO1 ONLY,,,,144,150
,Mounted,Isolated,Extracted ,Amplified,,,,,,,,,,,,,,,,,,,,,FULL GENOME,,,,159,160
,80,275,176,45,,,,,,,,,,,,,,,,,,,,,TOTAL,,,,,310
